States,Regions,latitude,longitude,Dates,Usage
Bihar,ER,25.78541445,87.4799727,12/01/2019,82.3
Jharkhand,ER,23.80039349,86.41998572,12/01/2019,24.3
Odisha,ER,19.82042971,85.90001746,12/01/2019,82.4
"West Bengal",ER,22.58039044,88.32994665,12/01/2019,154.7
Sikkim,ER,27.3333303,88.6166475,12/01/2019,1
"Arunachal Pradesh",NER,27.10039878,93.61660071,12/01/2019,2.1
Assam,NER,26.7499809,94.21666744,12/01/2019,30.1
Manipur,NER,24.79997072,93.95001705,12/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,12/01/2019,6
Mizoram,NER,23.71039899,92.72001461,12/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,12/01/2019,2
Tripura,NER,23.83540428,91.27999914,12/01/2019,4.6
Punjab,NR,31.51997398,75.98000281,13/01/2019,135.8
Haryana,NR,28.45000633,77.01999101,13/01/2019,141.4
Rajasthan,NR,26.44999921,74.63998124,13/01/2019,186.9
Delhi,NR,28.6699929,77.23000403,13/01/2019,89.4
UP,NR,27.59998069,78.05000565,13/01/2019,310
Uttarakhand,NR,30.32040895,78.05000565,13/01/2019,36.7
HP,NR,31.10002545,77.16659704,13/01/2019,26.4
J&K,NR,33.45,76.24,13/01/2019,32.7
Chandigarh,NR,30.71999697,76.78000565,13/01/2019,3.8
Chhattisgarh,WR,22.09042035,82.15998734,13/01/2019,87.6
Gujarat,WR,22.2587,71.1924,13/01/2019,301.2
MP,WR,21.30039105,76.13001949,13/01/2019,168.6
Maharashtra,WR,19.25023195,73.16017493,13/01/2019,408.3
Goa,WR,15.491997,73.81800065,13/01/2019,12.4
DNH,WR,20.26657819,73.0166178,13/01/2019,17.6
"Andhra Pradesh",SR,14.7504291,78.57002559,13/01/2019,164.9
Telangana,SR,18.1124,79.0193,13/01/2019,176.9
Karnataka,SR,12.57038129,76.91999711,13/01/2019,162.4
Kerala,SR,8.900372741,76.56999263,13/01/2019,72.4
"Tamil Nadu",SR,12.92038576,79.15004187,13/01/2019,314.1
Pondy,SR,11.93499371,79.83000037,13/01/2019,8.4
Bihar,ER,25.78541445,87.4799727,13/01/2019,87.7
Jharkhand,ER,23.80039349,86.41998572,13/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,13/01/2019,84.3
"West Bengal",ER,22.58039044,88.32994665,13/01/2019,155.3
Sikkim,ER,27.3333303,88.6166475,13/01/2019,1
"Arunachal Pradesh",NER,27.10039878,93.61660071,13/01/2019,2.1
Assam,NER,26.7499809,94.21666744,13/01/2019,30.1
Manipur,NER,24.79997072,93.95001705,13/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,13/01/2019,5.9
Mizoram,NER,23.71039899,92.72001461,13/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,13/01/2019,2.2
Tripura,NER,23.83540428,91.27999914,13/01/2019,4.8
Punjab,NR,31.51997398,75.98000281,14/01/2019,139.3
Haryana,NR,28.45000633,77.01999101,14/01/2019,143.8
Rajasthan,NR,26.44999921,74.63998124,14/01/2019,195.2
Delhi,NR,28.6699929,77.23000403,14/01/2019,82.2
UP,NR,27.59998069,78.05000565,14/01/2019,319.5
Uttarakhand,NR,30.32040895,78.05000565,14/01/2019,35.5
HP,NR,31.10002545,77.16659704,14/01/2019,26.9
J&K,NR,33.45,76.24,14/01/2019,37.6
Chandigarh,NR,30.71999697,76.78000565,14/01/2019,3.5
Chhattisgarh,WR,22.09042035,82.15998734,14/01/2019,89.6
Gujarat,WR,22.2587,71.1924,14/01/2019,305.6
MP,WR,21.30039105,76.13001949,14/01/2019,170.7
Maharashtra,WR,19.25023195,73.16017493,14/01/2019,406.3
Goa,WR,15.491997,73.81800065,14/01/2019,12.4
DNH,WR,20.26657819,73.0166178,14/01/2019,18.5
"Andhra Pradesh",SR,14.7504291,78.57002559,14/01/2019,163.3
Telangana,SR,18.1124,79.0193,14/01/2019,177
Karnataka,SR,12.57038129,76.91999711,14/01/2019,156.7
Kerala,SR,8.900372741,76.56999263,14/01/2019,69.6
"Tamil Nadu",SR,12.92038576,79.15004187,14/01/2019,305.9
Pondy,SR,11.93499371,79.83000037,14/01/2019,8.3
Bihar,ER,25.78541445,87.4799727,14/01/2019,88.2
Jharkhand,ER,23.80039349,86.41998572,14/01/2019,24.8
Odisha,ER,19.82042971,85.90001746,14/01/2019,85.7
"West Bengal",ER,22.58039044,88.32994665,14/01/2019,143.9
Sikkim,ER,27.3333303,88.6166475,14/01/2019,0.9
"Arunachal Pradesh",NER,27.10039878,93.61660071,14/01/2019,2.1
Assam,NER,26.7499809,94.21666744,14/01/2019,31.7
Manipur,NER,24.79997072,93.95001705,14/01/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,14/01/2019,5.4
Mizoram,NER,23.71039899,92.72001461,14/01/2019,1.8
Nagaland,NER,25.6669979,94.11657019,14/01/2019,2.1
Tripura,NER,23.83540428,91.27999914,14/01/2019,5
Punjab,NR,31.51997398,75.98000281,15/01/2019,141.1
Haryana,NR,28.45000633,77.01999101,15/01/2019,142.9
